id,start,end,text,emotions,situation,situation_type
1919,11729.24,11731.925,Your father's government career,"['neutral', 'nostalgia']",Mention of the past,Personal History
1920,11732.04,11734.247,is doomed because of it,['concern'],Someone believes something is doomed,Prediction
1921,11734.52,11737.285,"and because of his relations
with Professor Hsia.",['respect'],Mentioning someone's connection to a respected authority figure.,Professional relationship
1922,11740.8,11743.77,"I'm proud of all you kids
for pulling through.",['pride'],expressing admiration for someone's achievement,appreciation
1923,11743.96,11747.009,Especially Si'r.,['respect'],Expressing respect towards someone.,Social Interaction
1924,11747.48,11751.769,"He's so determined to get back
on track after all that's happened.",['determination'],character's resolve after setbacks,personal struggle
1925,11754.28,11758.763,"Mom, after graduation,
I'll work a while before going abroad.","['anticipation', 'excitement']",A person shares their post-graduation plans with their mom,Personal planning
1926,11759.0,11763.085,"No, you go as soon as you get
your scholarship.",['determination'],Telling someone to pursue their opportunity,Encouragement
1927,11763.2,11767.091,"But Lao Er's going to college,
plus there's Si'r and the youngest one.",['pride'],A family is discussing their children's futures,family
1928,11767.2,11769.248,It's too much for you.,[],unknown,unknown
1929,11769.4,11771.209,We've managed up to now.,"['relief', 'pride']",Character reflects on past accomplishments,Reflection
1930,11771.36,11774.33,"Don't worry until
you've made it in America.",['caution'],Giving advice about worrying,Advice
1931,11774.48,11776.403,Four pounds of rice.,['neutral'],A character mentions the quantity of rice.,statement
1932,11776.52,11779.364,"Can you put this on credit,
Uncle Fat?",['caution'],Asking for financial help from an uncle,Request
1933,11779.48,11781.084,No problem.,['neutral'],Responding to a request.,social interaction
1934,11781.56,11783.085,May I butt in?,"['curiosity', 'caution']",Asking for permission to interrupt,Social interaction
1935,11783.2,11785.202,"Many people say I'm too nosy,",['curiosity'],The speaker is self-aware of their nosy nature,self-reflection
1936,11785.56,11787.688,"but I'm actually
a lot like your husband.",['surprise'],A character reveals an unexpected similarity with someone else's husband,Revelation
1937,11787.8,11789.609,You have preserved eggs?,"['surprise', 'curiosity']",A person is surprised to find preserved eggs,Daily Life
1938,11790.0,11791.49,Over there.,['neutral'],Pointing out a location,direction
1939,11794.84,11797.286,<i>Your SH saved my “fie.</i>,['gratitude'],A character expresses thanks to another for saving their life.,Dramatic
1940,11798.72,11802.486,I think it's my turn to help you.,"['gratitude', 'protectiveness']",One person offers to repay a favor.,reciprocity
1941,11806.8,11809.565,"Uncle Fat said Mr. Lin
is native Taiwanese.",['neutral'],Uncle Fat informs about Mr. Lin's origin,informative
1942,11809.68,11811.444,A very honest man.,['respect'],Describing someone's character,Character description
1943,11811.8,11814.371,"He's starting
a fruit export business.",['ambition'],Starting a new business venture,Goal-oriented
1944,11814.48,11817.643,"He needs a partner
with formal education.",[],unknown,unknown
1945,11823.2,11825.601,"The starting salary
may not be much,",['caution'],A person is discussing the starting salary of a job,Work-related conversation
1946,11826.28,11830.046,"but if you work hard,
you'll be your own man.","['determination', 'ambition']",encouraging someone to work hard,advice
1947,11837.2,11840.01,"What if he goes bankrupt
a month from now?",['concern'],expressing worry about someone's financial situation,financial
1948,11841.08,11843.89,"Talk to him first.
Feel each other out.",['caution'],Someone is being advised to approach a conversation with someone else carefully,advice
1949,11844.24,11847.562,"You can't doubt a guy
without knowing him.",['caution'],Advising against judging someone without getting to know them,Advice
1950,11852.88,11855.724,"I've worked
for the government all my life.","['pride', 'neutral']",The speaker is reflecting on their career,Reflection
1951,11856.32,11859.244,"I'm used
to the stability and security.","['security', 'calm']",Character expresses comfort with current situation,Personal Reflection
1952,11859.36,11862.409,"You really think
this is stable and secure?","['concern', 'caution']",A character questions the safety of a situation,doubt
1953,11868.24,11871.767,"I was gonna mail it today
if you didn't show up.",['relief'],"The speaker was about to take an action, but the arrival of someone prevented it.",Avoidance
1954,11872.24,11875.881,"<i>Did you bring your friend
some slippers, Cat?</i>",['concern'],Asking if someone brought something for another person's comfort,interpersonal interaction
1955,11894.28,11896.521,What did I go out there for?,"['curiosity', 'incredulity']",The speaker is trying to remember the purpose of their action.,Self-reflection
1956,11896.64,11898.449,Why'd you turn it off?,['concern'],A person turns off something and another person inquires about the reason,inquiry
1957,11898.56,11900.801,"It sounds awful!
Who are you mailing it to?",['concern'],Reacting to bad news,Reactions
1958,11900.92,11903.048,You'll find out later.,['caution'],Someone is being secretive about information.,conflict
1959,11905.52,11907.682,"How's school?
Everything okay?",['concern'],Asking about school,Inquiry
1960,11907.8,11910.883,"Same as always.
Nothing ever changes.","['neutral', 'concern']",A character expresses frustration about the monotony of their life.,frustration
1961,11913.16,11915.049,You seen Ming lately?,['concern'],Asking about someone's whereabouts,Inquiry
1962,11915.16,11917.606,She's fine!,['relief'],Someone inquires about a person's condition and receives a reassuring response.,Health and wellness
1963,11917.72,11919.449,Just concentrate on your books.,"['authority', 'seriousness']",An authority figure is telling someone to focus on their studies.,instruction
1964,11919.6,11921.887,"Me and Airplane
will look after her.",['protectiveness'],A character promises to take care of someone.,promise
1965,11942.32,11944.971,"Chiung, come give me a hand.",['affection'],A character asks for assistance from someone they care about,Request for help
1966,11945.24,11947.766,"Uncle Fat's family
will be here at 7:00.",['anticipation'],Preparing for a family gathering,Social
1967,11952.04,11954.042,"Clear the table, would you?",['authority'],Giving an order,Directive
1968,11957.32,11958.651,<i>Where's Sh'?</i>,['concern'],A character is asking about the whereabouts of another character.,Query
1969,11959.36,11961.408,I sent him to the movies.,[],unknown,unknown
1970,11977.88,11982.01,"“The score with Sly
will be settled by this day.”",['determination'],A character vows to resolve a score with someone.,threat
1971,11987.64,11989.13,Sly?,['curiosity'],Someone is trying to get someone's attention.,calling out
1972,11989.76,11992.286,He hasn't come around in ages.,"['concern', 'nostalgia']",expressing worry about someone's absence,personal relationship
1973,11993.0,11997.528,"He disappeared
after he escaped the massacre.","['concern', 'caution']","Someone escaped a massacre, but then disappeared",Danger
1974,11998.84,12001.491,"They fired his old man
because of him.",['concern'],A character's father gets fired due to the character's actions,consequences
1975,12003.36,12006.728,"They hold political meetings
in the auditorium,",[],A group holds meetings in an auditorium,setting
1976,12006.88,12009.201,"but outsiders
can't rent it anymore.",['concern'],Someone is talking about restrictions on renting a place,restriction
1977,12010.2,12012.441,I got the worst of it.,['relief'],Character expresses relief after getting through a difficult situation,post-crisis
1978,12012.6,12014.967,My business has gone to hell.,['concern'],The speaker's business is failing.,problem
1979,12015.16,12018.243,"The damn cops
come round all the time.","['concern', 'caution']",Talking about frequent visits from the police,Daily Life
1980,12022.4,12024.243,<i>Closing up already?</i>,['surprise'],A person is surprised that a place is closing already,query
1981,12024.4,12026.607,Shit! Look who's here!,['surprise'],unexpected encounter,social
1982,12032.4,12033.89,<i>Sh.</i>,['caution'],A character is telling someone to be quiet,instruction
1983,12046.72,12050.406,"Jade said she's been
seeing you at the library.","['concern', 'caution']",Someone is being accused of something,Accusation
1984,12051.28,12054.09,"You got kicked
out of school too?",['surprise'],One person asks another if they also got kicked out of school,conversation
1985,12057.76,12059.603,You seem really different.,['curiosity'],A character notices a change in someone.,observation
1986,12059.76,12061.285,Move your feet.,['authority'],Someone is told to move their feet,directive
1987,12068.76,12070.922,I was really too much back then...,['nostalgia'],The speaker is reflecting on their past behavior,Self-reflection
1988,12072.12,12074.282,wound up so tight all the time.,['concern'],Comment on someone's state,Character observation
1989,12075.0,12077.128,It makes me laugh!,['amusement'],expressing happiness,personal_feeling
1990,12081.08,12084.163,"Don't let the past
get you down, okay?",['concern'],advice to overcome past struggles,motivational
1991,12086.2,12088.282,I feel really bad about it.,['concern'],The speaker expresses regret over a past action.,apology
1992,12093.64,12096.405,"Come on, man.
It was all my fault.",['concern'],Taking responsibility for a mistake,Apology
1993,12096.76,12098.364,Let it go.,['determination'],Character decides to move on from past,Empowerment
1994,12100.64,12102.847,"What school
are you trying to get into?",['curiosity'],Asking about someone's academic goals,Inquiry
1995,12103.36,12105.886,"I'm trying to test
into day school.",['determination'],A person is trying to get into day school,Goal-oriented
1996,12107.92,12109.763,You got some balls!,"['surprise', 'respect']",Someone is impressed by another person's courage.,Compliment
1997,12111.96,12115.646,"Even military academies
won't take punks like me.",['concern'],The speaker is doubting their own abilities and feels they are not good enough.,Self-doubt
1998,12116.92,12119.207,You and I were such enemies.,['nostalgia'],Looking back at past conflicts,reflection
1999,12119.44,12121.363,Now we're in the same boat.,"['neutral', 'caution']",Two people find themselves in a similar situation,Realization
2000,12121.56,12124.484,"We even have the same
bad luck with girlfriends.",['amusement'],Two people finding common ground in their bad luck with girlfriends.,social interaction
2001,12126.32,12128.243,What do you mean?,['curiosity'],Asking for clarification,Questioning
2002,12128.92,12130.49,That Ma!,['affection'],Expressing love and affection towards mother,Family
2003,12131.68,12133.682,He's really slick.,"['curiosity', 'incredulity']",A character comments on someone's smooth behavior,Social interaction
2004,12135.56,12139.201,"I figure you'll be like me
and not hold it against him.","['forgiveness', 'caution']",A character suggests not to hold a past mistake against someone.,Interpersonal Conflict Resolution
2005,12140.16,12142.162,He stole Jade from me.,['concern'],Character expresses loss and worry about someone being taken away.,relationship issue
2006,12142.64,12144.802,"Now he's messing around
with Ming.",['concern'],A person is worried about someone messing with Ming.,Warning
2007,12148.52,12150.807,"When are you signing up
for the exams?",['curiosity'],Someone is asking about someone else's plans to take an exam,Inquiry
2008,12150.92,12153.287,"My math and English
are the pits -",['concern'],The speaker is expressing their struggles in school.,Academic struggle
2009,12153.92,12155.49,<i>Sh.</i>,['caution'],A character is telling someone to be quiet.,Warning
2010,12158.16,12160.128,Let's keep in touch.,['affection'],A person is expressing their desire to maintain a connection with someone,Social Interaction
2011,12161.84,12165.242,"What was that for?
You want trouble, asshole?","['concern', 'caution']",two people arguing,conflict
2012,12165.36,12167.806,"Mess with me
and <i>I'll</i> call the cops!","['caution', 'authority']",A person threatens to call the police if someone messes with them.,conflict
2013,12167.92,12171.288,"Motherfucker!
- Come on, forget it.",['caution'],A person tries to calm another down after an outburst.,Conflict resolution
2014,12173.64,12176.689,"<i>- Who are you here to see?
- Is Ma home?</i>","['concern', 'curiosity']",A person asks if someone is home,query
2015,12176.8,12178.29,<i>Wait here.</i>,"['authority', 'caution']",Telling someone to wait,instruction
2016,12182.56,12184.05,What's your name?,['curiosity'],One person asks another for their name.,Introduction
2017,12184.2,12185.884,<i>Si 'r.</i>,['respect'],Addressing someone with respect,Formal Interaction
2018,12212.28,12215.762,"Shit, it's been a long time!
What have you been up to?","['surprise', 'curiosity']",A reunion or meeting after a long time,Social Interaction
2019,12216.04,12218.088,That's what I want to ask you.,['curiosity'],Asking a question,Inquiry
2020,12218.76,12220.967,"I'm the same old me.
What else?",['neutral'],The speaker is asserting their consistency.,self-affirmation
2021,12221.92,12225.527,"Hey, did you know
Ming's living here now?",['surprise'],Informing someone about a person's new residence,social interaction
2022,12226.08,12228.162,Remember when you guys came over,['nostalgia'],The speaker is reminiscing about a past social gathering,Social Interaction
2023,12228.32,12230.163,and our maid had quit?,"['surprise', 'concern']",A maid has quit and the character is reacting to the news,Domestic issue
2024,12230.76,12234.651,"Ming came to my mom to see
if her mother could fill the job.",['curiosity'],Ming inquires about a job opportunity for his mother,query
2025,12234.8,12238.247,"My mom really likes her
and gave her mother the job.","['gratitude', 'affection']",A person's mom likes someone and helps them out by giving their mom a job,Family
2026,12238.68,12240.444,Ming's not bad.,['neutral'],Evaluating someone's character,Assessment
2027,12241.56,12244.006,"She's inside.
Want to come in?","['neutral', 'calm']",offering entrance,invitation
2028,12245.28,12247.521,"What's this I hear
about you and her?","['curiosity', 'concern']",A character inquires about a rumor involving the other person and someone else.,interrogation
2029,12248.36,12250.089,What do you mean?,['curiosity'],Asking for clarification,Inquiry
2030,12250.2,12252.487,Girls. It's the same old shit.,"['neutral', 'concern']",Expressing frustration about a repeated situation,Frustration
2031,12252.6,12255.729,"Dress 'em nice, feed 'em well,
fool around a bit.","['amusement', 'joy']",A person is giving advice on how to treat someone nicely,Social interaction
2032,12255.84,12257.649,What else is there?,['curiosity'],Asking for more information,Inquiry
2033,12262.44,12264.92,You don't look too happy.,['concern'],Someone comments on another person's unhappy appearance.,Social Interaction
2034,12266.28,12269.841,"Don't let some stupid girl
come between us, buddy.",[],unknown,unknown
2035,12271.32,12272.81,It's okay.,"['calm', 'relief']",Reassuring someone that everything is fine.,Comforting
2036,12274.6,12278.321,"When you two were fooling around,
did she mention Honey a lot...","['curiosity', 'concern']",Asking about someone's past conversations,inquiry
2037,12278.72,12281.564,"and say you weren't giving her
a sense of security?",['concern'],Questioning someone's actions towards another person,Interpersonal
2038,12283.84,12288.004,"What's wrong? Don't get
all worked up over some girl!","['concern', 'caution']",calming someone down,advice
2039,12288.24,12290.925,"Come on in.
Let's shoot a few rounds.","['excitement', 'anticipation']",Inviting someone to play a game or engage in a fun activity,Social Interaction
2040,12291.12,12293.407,"That's okay.
I'm gonna catch a movie.",['neutral'],A person is responding to an unmentioned situation and decides to watch a movie.,Everyday Conversation
2041,12313.36,12315.966,"- Got any money on you?
- <i>A</i> little.",['amusement'],A lighthearted conversation about money,Social Interaction
2042,12316.68,12318.045,How much?,['curiosity'],Asking the price of something,Query
2043,12318.2,12320.202,<i>How much you need?</i>,"['caution', 'concern']",asking about someone's needs,inquiry
2044,12321.68,12323.409,Never mind.,"['neutral', 'caution']",A person is backing down from a conversation or argument,Conflict
2045,12360.68,12364.446,"Look at it
as meeting friends for dinner.",['affection'],comparing a situation to a casual social gathering,analogy
2046,12364.56,12366.403,Just be relaxed.,['calm'],Calmness is being advised.,Advice
2047,12368.44,12371.125,"Chuan, I need my watch.",['concern'],Requesting a personal item,Everyday conversation
2048,12371.24,12373.129,<i>I put it back.</i>,['relief'],Returning something that was taken,Restitution
2049,12373.4,12375.209,"Well, it's not here.","['concern', 'caution']",Character can't find something,Problem
2050,12376.08,12378.003,<i>Uncle Fat's here.</i>,"['joy', 'excitement']",A character announces the arrival of a loved one.,Family reunion
2051,12391.48,12394.245,"- I want to go.
- I'll bring you bubble gum.","['excitement', 'affection']","A person wants to leave, and another person offers a small gift as a token of affection.",goodbye
2052,12394.44,12396.169,Lousy bubble gum!,['incredulity'],Expressing disappointment at something,complaint
2053,12406.32,12408.891,How many for dinner?,['neutral'],inquiring about the number of people for dinner,daily life
2054,12409.28,12412.045,Si'r is studying at the library.,[],unknown,unknown
2055,12413.76,12415.285,How about Lao Er?,['curiosity'],Asking about someone's status or availability,Query
2056,12415.44,12417.283,I don't know.,['neutral'],The speaker is unsure about something.,Uncertainty
2057,12419.88,12422.531,He's had a good appetite lately.,['relief'],Someone is pleased that someone else is eating well,health
2058,12427.64,12429.324,What's wrong?,['concern'],Someone is asking about someone else's well-being,Social Interaction
2059,12434.6,12436.807,"<i>You're always outside
whenever Mom's gone.</i>","['concern', 'caution']","A person is accusing someone of always being outside when she's not around, implying they might be up to no good.",Accusation
2060,12436.96,12438.564,<i>Come eat your dinner!</i>,['affection'],A family member is being called to dinner,family interaction
2061,12438.68,12440.648,I'm not hungry yet.,['neutral'],The speaker is not feeling hungry,Physical Needs
2062,12443.0,12445.48,"- You're asking for it!
- I'm coming.",['determination'],A confrontation is about to happen,Conflict
2063,12445.6,12449.161,"- Is stealing Mom's watch a habit now?
- I didn't take it.",[],unknown,unknown
2064,12449.28,12452.523,"She noticed it was gone!
What will you do now?","['concern', 'surprise']",A character realizes something is missing and asks what to do next,problem
2065,12454.64,12456.13,What's this about?,['curiosity'],Asking about the topic,inquiry
2066,12456.36,12459.011,"It's for grown-ups.
Stay out of it.","['authority', 'caution']",Someone is being warned to stay away from something,Warning
2067,12459.16,12461.003,You're so mean!,['concern'],Someone is being accused of being mean,Conflict
2068,12461.8,12463.45,Where are you going?,"['curiosity', 'concern']",One person asks another about their whereabouts,Inquiry
2069,12463.6,12467.161,"- Are your folks home?
- They went out to dinner.",['neutral'],inquiring about someone's family,query
2070,12467.28,12469.726,"- What's with Lao Er?
- Oh, nothing.",['neutral'],Someone asks about Lao Er and gets a brief answer.,Conversation
2071,12470.0,12472.401,"It's been ages.
Are they doing all right?",['concern'],Asking about someone's well-being after a long time,Inquiry
2072,12472.56,12474.801,<i>I'll</i> come in a while and wait.,['anticipation'],Someone agrees to wait for someone else,promise
2073,12479.72,12482.803,Where are all the ashtrays?,['concern'],A person is looking for ashtrays and is concerned about their absence.,query
2074,12488.0,12489.843,Dad quit smoking.,"['relief', 'pride']",A family member quits a bad habit.,Personal Achievement
2075,12496.76,12499.127,You still using this thing?,['curiosity'],a person asks about someone's usage of an object,inquiry
2076,12504.56,12506.528,It's useless!,"['frustration', 'incredulity']",Expressing disappointment and disbelief,Negative Reaction
2077,12508.32,12512.644,"You know, I took your dad
to buy this radio.",['nostalgia'],A character reminisces about a past event,flashback
2078,12513.88,12516.724,"At the Wing On
department store in Shanghai.",[],Setting the scene in a department store in Shanghai,setting_description
2079,12517.2,12520.921,"Your mom wasn't even
as old as you are now.",['nostalgia'],The speaker is reflecting on the past and comparing the present to it.,reflection
2080,12526.92,12529.571,"You should throw
that useless junk away.",['concern'],Someone is advised to get rid of something considered useless,Advice
2081,12529.88,12532.611,"What were you doing
at the church library?","['curiosity', 'concern']",Someone is asking about someone else's whereabouts,Interrogation
2082,12532.72,12535.61,"My sister told me about it.
How about you?","['curiosity', 'neutral']",Two people discussing how they found out about something,casual conversation
2083,12535.72,12539.406,"I play when it's time to play,
study when it's time to study.",['determination'],A character is setting boundaries and prioritizing their responsibilities,Goal-oriented
2084,12540.96,12543.327,So Chiung is your sister?,['curiosity'],Asking about someone's family relationship,Inquiry
2085,12545.6,12547.364,She's really religious.,['neutral'],A statement about someone's religiosity.,character description
2086,12547.48,12550.723,"We were both
in the church choir at one point.",['nostalgia'],Two people share a nostalgic memory,Personal history
2087,12554.2,12557.363,"What'll we do after the movie?
- Some rock and roll joint?",['anticipation'],Planning what to do after the movie,Social Planning
2088,12557.52,12559.249,"No, too expensive.","['caution', 'concern']",The speaker is hesitant to make a purchase due to the high price.,Financial decision
2089,12559.4,12562.37,"You want to be like Ma?
Don't be stupid.","['concern', 'caution']",argument between two people about someone they admire,conflict
2090,12564.76,12567.081,Didn't you quit?,['surprise'],Someone is asked about their previous decision,confrontation
2091,12575.2,12577.441,How about 300 a game?,['anticipation'],A character suggests a bet,gambling
2092,12579.28,12581.886,"Shit!
You need money that bad?","['surprise', 'concern']",A person is reacting to someone's desperation for money,Conflict
2093,12591.28,12593.328,This is a real opportunity for you.,"['ambition', 'opportunity']",A person is presented with a chance to advance,Motivational
2094,12593.44,12597.126,"I was impressed with Mr. Lin.
He's honest and direct.",['respect'],Expressing admiration for someone's honesty,Appraisal
2095,12597.68,12599.762,"It's time to stop
dragging your feet.","['caution', 'concern']",Advising someone to take action,Advice
2096,12599.92,12602.207,"<i>Dad, Mr. Wang was here.</i>",['concern'],"A child informs their father about a guest, Mr. Wang, who visited.",Family Interaction
2097,12607.72,12610.2,I forgot your bubble gum!,"['surprise', 'concern']",forgetting something important for someone,apology
2098,12610.64,12613.53,I'll make it up to you next time.,[],unknown,unknown
2099,12614.96,12617.85,"Why the sad face?
- Big sister bawled me out.","['concern', 'caution']",Someone is asked about their sad face and responds that their big sister scolded them.,Family Interaction
2100,12618.0,12620.048,"She did?
Were you naughty?","['curiosity', 'amusement']","One person asks about someone else's behavior, with a hint of playfulness",social interaction
2101,12620.16,12621.571,No.,['neutral'],Responding to a question or request,Response
2102,12621.68,12623.523,Then why'd she do that?,['incredulity'],Questioning someone's actions,conflict
2103,12630.04,12632.725,"- Where's Lao Er?
- He went out.",['concern'],Lao Er is missing,query
2104,12632.84,12634.842,Where'd he go?,['concern'],A person is searching for someone who has gone missing,query
2105,12636.8,12640.361,"Little brat!
Just had to snitch, didn't you!","['concern', 'caution']",Scolding a child for telling on someone,Conflict
2106,12645.52,12648.0,<i>I saw Sly last night.</i>,['neutral'],The speaker mentions seeing someone named Sly.,casual conversation
2107,12648.76,12650.808,<i>He's totally changed.</i>,['surprise'],A person notices a significant change in another person.,Observation
2108,12652.48,12654.721,<i>I guess people really do change.</i>,"['surprise', 'incredulity']",The speaker is reflecting on how people can change over time,reflection
2109,12655.68,12658.684,<i>It was a comforting feeling.</i>,['comfort'],A character describes a pleasant experience,reflection
2110,12659.72,12662.041,What are you going on about?,"['curiosity', 'incredulity']",A character is confused and asking for clarification.,conflict
2111,12664.08,12667.88,"Jade, can we be close
to each other?","['love', 'affection']",A character asks to be close to someone they care about.,romantic
2112,12669.6,12672.922,"I could help you feel
that same way.","['love', 'affection']",offering emotional support,romantic
2113,12674.2,12676.726,Don't you need that sometimes?,['curiosity'],One character asks another if they need something,query
2114,12678.16,12680.208,"You're a serious one,
aren't you?",['seriousness'],Someone is being described as serious,character observation
2115,12680.36,12682.886,"Didn't you look down
on me before?",['concern'],The speaker questions if the other person had a low opinion of them,Conflict
2116,12683.16,12684.207,Actually -,[],Starting a sentence,neutral
2117,12684.32,12686.926,Now you seem eager to change me.,"['concern', 'caution']",one person accuses the other of trying to change them,relationship
2118,12688.4,12691.085,"Am I your little
biology experiment, or what?",[],unknown,unknown
2119,12691.8,12694.804,"You have a lot
of philosophical ideas.","['curiosity', 'respect']",One character expresses interest in another's ideas.,intellectual discussion
2120,12698.24,12701.926,"I'm happy with the way I am,
but are you?","['joy', 'curiosity']",A person expresses their contentment with themselves and asks if the other person is also happy with who they are.,Self-reflection
2121,12703.96,12705.928,What if I don't change?,['concern'],Character is worried about not making a change.,Personal Growth
2122,12707.56,12710.245,"What if I don't change
to suit your ideas?","['concern', 'caution']",A person is pushing back against someone else's expectations.,Conflict
2123,12710.4,12712.562,Will you just walk away?,['concern'],A character asks another to leave,conflict
2124,12714.92,12718.322,"You're so selfish!
Who do you think you are?","['concern', 'incredulity']",A person is accused of being selfish,Conflict
2125,12731.0,12733.401,"Jade, I didn't mean any harm.","['concern', 'caution']",apologizing after causing unintentional harm,apology
2126,12736.96,12740.931,"By the way, thanks for the rumors
you started back then.",['gratitude'],character thanks another for spreading rumors,social interaction
2127,12741.68,12744.206,What rumors? Back when?,"['curiosity', 'caution']",Asking about rumors,inquiry
2128,12744.68,12746.648,Playing dumb?,['incredulity'],Accusing someone of pretending to be unaware,Confrontation
2129,12746.76,12750.128,"When the 217 boys
cornered Sly at the school.","['concern', 'caution']",Sly is cornered by 217 boys at school,bullying
2130,12750.24,12754.04,"Did you really not see
it was Ming he was with?","['surprise', 'incredulity']",Someone is questioning if someone else saw something they did not think they would miss,accusation
2131,12754.44,12757.887,"Sly was scared
Honey might find out.","['concern', 'caution']",Sly is worried that Honey might discover something,personal_relationship
2132,12758.0,12760.651,"He made me tell everyone
it was me.","['caution', 'concern']",Someone is forced to reveal a truth about themselves,conflict
2133,12760.8,12763.007,I was such an idiot!,['incredulity'],The speaker is expressing regret over a past action,self-reflection
2134,12764.16,12766.64,"Why don't you give Ming
your philosophy lecture?",['curiosity'],Asking someone to share their philosophical thoughts,inquiry
2135,12766.8,12769.121,She's got me beat by a mile.,['incredulity'],Expressing amazement at someone's superiority,Admission of inferiority
2136,12793.16,12796.323,"You're shameless!
Hopeless!",['incredulity'],Someone is being criticized for their behavior,Confrontation
2137,12797.68,12800.047,Tell your father you're sorry.,"['concern', 'authority']",A parental figure is instructing someone to apologize to their father.,Family Conflict
2138,12801.96,12804.645,"That's enough, Dad.",['concern'],"A person interrupts their dad, likely to prevent an argument or unwanted conversation.",family interaction
2139,12806.48,12808.209,"That's enough, Dad.","['caution', 'concern']",A person is trying to stop their dad from doing something,Conflict
2140,12810.72,12812.37,That's enough!,"['authority', 'seriousness']",A person is asserting their authority and setting a boundary.,Confrontation
2141,12814.04,12816.566,"Dad, please stop!",['concern'],A child is asking their father to stop doing something,family interaction
2142,12822.16,12824.083,Please stop!,['concern'],A person is trying to stop something or someone from happening,urgency
2143,12869.76,12872.366,You better come back later.,['caution'],"Telling someone to come back later, implying it's not a good time now.",Warning
2144,12872.76,12876.048,"Mom and Dad think
you're studying at the library.",['deception'],Lying about studying,Deception
2145,12876.6,12879.524,"If they find out
you took the watch...","['concern', 'caution']",Warning about getting caught,Warning
2146,12880.36,12882.931,they'll be even more heartbroken.,['concern'],Someone is worried about others being heartbroken.,empathy
2147,12885.24,12887.925,"Lao Er came up
with a load of cash.",['surprise'],Lao Er suddenly appears with a large amount of money.,unexpected event
2148,12889.32,12892.29,"He wanted to buy back
the watch for you...","['love', 'gratitude']",Someone wants to buy back a watch for their loved one.,Relationship
2149,12893.08,12896.163,"but Mom found
the money on him first.",['surprise'],A discovery is made,Revelation
2150,12901.96,12903.962,You mustn't feel alone.,['concern'],Someone is trying to comfort another person,Comforting
2151,12905.32,12907.561,I'm always with you.,"['love', 'protectiveness']",A person reassures another of their presence and support,Relationship
2152,12908.24,12910.527,Don't turn me away again.,['concern'],A character is asking someone not to reject them,relationship
2153,12910.72,12914.611,"Let God into your heart.
He'll give you his strength.","['love', 'gratitude']",A character is telling someone to have faith and trust in God.,Religious/Motivational
2154,12916.44,12917.805,But...,"['caution', 'concern']",A character is hesitant or unsure about something,Uncertainty
2155,12918.64,12920.768,there's too much suffering...,['concern'],The character expresses worry about the amount of suffering,Empathy
2156,12921.2,12923.168,too much injustice.,['concern'],expression of dismay at unfairness,social issue
2157,12925.04,12927.691,"Aren't you giving others
too little credit","['concern', 'caution']",questioning someone's judgment,interpersonal
2158,12928.28,12931.363,"and always thinking
only of yourself?",['concern'],Accusing someone of being selfish,Conflict
2159,12932.16,12933.924,Christ gave his life,"['awe', 'love', 'gratitude']",A character mentions Jesus Christ's sacrifice,Religious
2160,12934.4,12936.243,for our sins.,"['seriousness', 'concern']",A character expresses remorse or guilt.,reflection
2161,12937.64,12942.646,"Even Lao Er took the blame
for your wrongs.",['concern'],Accusing someone of taking the blame for someone else's mistakes,Conflict
2162,12944.16,12947.323,"You should show gratitude
for what others have done for you.",['gratitude'],Advice on appreciating others' help,advice
2163,12947.8,12950.804,"Have you ever done
anything for anyone?",['curiosity'],Asking about selfless acts,questioning
2164,12952.2,12954.646,You should think it over carefully.,['caution'],Advising someone to be careful in their decision-making.,Advice
2165,12959.0,12960.889,Honey told me the same thing.,"['neutral', 'trust']",someone is relaying a message from their partner,relationship
2166,12961.0,12962.081,Who?,['curiosity'],Someone is asking for clarification on who is being referred to.,question
2167,12963.52,12965.204,Never mind.,['neutral'],The speaker is dismissing a previous topic.,dismissal
2168,12965.68,12967.603,A good friend.,['affection'],A person is being referred to as a good friend.,social
2169,12972.04,12976.011,"Have you ever read
War and Peace <i>?</i>",['curiosity'],Asking about someone's reading experience,inquiry
2170,12978.16,12981.369,"Why don't you talk it over
with Reverend Chen tomorrow?",['concern'],Character suggests talking to a reverend about a problem,Advice
2171,12994.52,12996.841,"- What's up?
- We're not finished yet.",['determination'],A character refuses to give up on a task.,goal-oriented
2172,12997.0,13000.209,"- What's this about?
- Don't play dumb, asshole.","['concern', 'caution']",Accusation and denial,Conflict
2173,13000.36,13003.921,"Fuck you, going off on me
over some girl!","['anger', 'incredulity']",Argument over a girl,Conflict
2174,13004.04,13005.565,Aren't you my bUddY?,['affection'],A character inquires about their friendship,personal relationship
2175,13005.72,13007.768,You go on like an old lady.,['amusement'],teasing someone,playful banter
2176,13007.88,13010.326,"You said you'd given up
girls for books.",['surprise'],Accusing someone of lying about their interests,Confrontation
2177,13010.44,13013.33,"Now you start bitching.
You got some nerve!","['concern', 'caution']",Someone is being reprimanded for complaining.,Conflict
2178,13013.44,13015.966,"I've always been good to you.
- Shut your mouth!","['anger', 'concern']",A person is being told to shut their mouth after mentioning they've been good to someone,Conflict
2179,13016.44,13018.408,Shut your mouth and listen good.,"['authority', 'seriousness']",A person is being told to be quiet and pay attention.,command
2180,13018.52,13021.0,"I've had enough
of your rich-kid theories.",['concern'],A person is fed up with someone's privileged perspective,Conflict
